,userID,friendID
0,0,257
1,0,400
2,0,482
3,0,709
4,0,772
5,0,838
6,0,1102
7,0,1103
8,0,1121
9,0,1203
10,0,1431
11,0,1466
12,0,1689
13,1,74
14,1,238
15,1,429
16,1,777
17,1,1568
18,1,1625
19,1,1778
20,2,94
21,2,119
22,2,199
23,2,247
24,2,461
25,2,487
26,2,498
27,2,790
28,2,1009
29,2,1874
30,3,214
31,3,676
32,3,772
33,3,1154
34,3,1190
35,3,1339
36,3,1609
37,4,143
38,4,772
39,4,1154
40,4,1532
41,4,1587
42,5,43
43,5,218
44,5,363
45,5,509
46,5,756
47,5,809
48,5,917
49,5,1037
50,5,1080
51,5,1188
52,5,1313
53,5,1325
54,5,1488
55,5,1504
56,5,1565
57,5,1820
58,5,1836
59,5,1858
60,6,317
61,6,348
62,6,392
63,6,698
64,6,772
65,6,932
66,6,1074
67,6,1369
68,6,1416
69,6,1635
70,6,1636
71,7,693
72,7,772
73,7,1762
74,8,1092
75,8,1354
76,8,1381
77,8,1410
78,8,1788
79,9,10
80,9,22
81,9,124
82,9,131
83,9,139
84,9,216
85,9,259
86,9,378
87,9,636
88,9,739
89,9,746
90,9,757
91,9,798
92,9,902
93,9,932
94,9,1034
95,9,1038
96,9,1074
97,9,1075
98,9,1085
99,9,1190
100,9,1333
101,9,1423
102,9,1519
103,9,1591
104,9,1604
105,9,1651
106,9,1805
107,9,1821
109,10,43
110,10,122
111,10,128
112,10,140
113,10,222
114,10,225
115,10,241
116,10,373
117,10,509
118,10,553
119,10,636
120,10,681
121,10,740
122,10,800
123,10,857
124,10,867
125,10,914
126,10,938
127,10,967
128,10,996
129,10,1045
130,10,1046
131,10,1140
132,10,1155
133,10,1188
134,10,1218
135,10,1220
136,10,1238
137,10,1315
138,10,1416
139,10,1469
140,10,1476
141,10,1543
142,10,1557
143,10,1600
144,10,1643
145,10,1710
146,10,1805
147,10,1820
148,11,363
149,11,378
150,11,450
151,11,683
152,11,757
153,11,1037
154,11,1080
155,11,1497
156,11,1591
157,11,1604
158,11,1840
159,12,565
160,12,596
161,12,703
162,12,1144
163,12,1229
164,12,1403
165,12,1536
166,12,1587
167,13,117
168,13,137
169,13,223
170,13,249
171,13,389
172,13,423
173,13,718
174,13,1133
175,13,1144
176,13,1164
177,13,1252
178,13,1354
179,13,1405
180,13,1466
181,13,1500
182,13,1609
183,13,1629
184,13,1696
185,13,1795
186,13,1825
187,13,1835
188,14,137
189,14,235
190,14,317
191,14,408
192,14,509
193,14,653
194,14,677
195,14,683
196,14,693
197,14,734
198,14,756
199,14,1118
200,14,1148
201,14,1359
202,14,1415
203,14,1416
204,14,1472
205,14,1503
206,14,1540
207,14,1656
208,14,1710
209,14,1747
210,14,1802
211,14,1864
212,15,308
213,15,317
214,15,553
215,15,586
216,15,980
217,15,1499
218,15,1729
219,16,278
220,16,288
221,16,374
222,16,444
223,16,627
224,16,1079
225,16,1183
226,16,1286
227,16,1318
228,16,1324
229,17,1164
230,17,1706
231,18,195
232,18,938
233,18,1124
234,18,1186
235,18,1369
236,18,1416
237,18,1485
238,18,1635
239,18,1795
240,19,56
241,19,76
242,19,160
243,19,187
244,19,327
245,19,368
246,19,607
247,19,772
248,19,832
249,19,1139
250,19,1232
251,19,1394
252,19,1435
253,19,1685
254,19,1802
255,20,102
256,20,1144
257,21,131
258,21,144
259,21,217
260,21,307
261,21,339
262,21,363
263,21,390
264,21,392
265,21,406
266,21,470
